Response,Effective To Date,Customer,State,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Number of Open Complaints,Months Since Last Claim,Coverage,Monthly Premium Auto,Policy Type,Policy,Months Since Policy Inception,Number of Policies,Renew Offer Type,Vehicle Class,Vehicle Size,Sales Channel,Total Claim Amount,Customer Lifetime Value
0,1/29/11,FS42516,Oregon,College,Employed,M,97541,Suburban,Married,0,22,Basic,72,Personal Auto,Personal L3,1,3,Offer2,Four-Door Car,Large,Call Center,389.185006,5802.065978
0,2/28/11,US89481,California,Bachelor,Unemployed,F,0,Suburban,Single,0,15,Premium,111,Personal Auto,Personal L3,47,1,Offer1,Four-Door Car,Small,Agent,799.2,3946.372085
0,2002-12-11,HO30839,Washington,Master,Disabled,F,10511,Urban,Married,0,33,Extended,139,Corporate Auto,Corporate L1,64,1,Offer1,SUV,Medsize,Branch,516.237951,5346.916576
0,2002-02-11,GE62437,Arizona,College,Employed,F,86584,Suburban,Single,2,33,Premium,111,Personal Auto,Personal L3,54,2,Offer1,Four-Door Car,Large,Call Center,532.8,12902.56014
0,2002-07-11,EJ77678,Oregon,Master,Employed,F,75690,Suburban,Married,1,17,Extended,80,Personal Auto,Personal L3,44,1,Offer2,Four-Door Car,Small,Branch,384,3235.360468
0,2/28/11,SV85652,Arizona,College,Employed,M,23158,Suburban,Married,1,4,Basic,63,Personal Auto,Personal L2,6,1,Offer4,Four-Door Car,Small,Call Center,322.294043,2454.58354
0,1/22/11,UL64533,Nevada,High School or Below,Employed,M,65999,Urban,Married,0,1,Extended,237,Corporate Auto,Corporate L2,14,6,Offer2,Luxury SUV,Medsize,Agent,615.927769,18975.45611
0,1/25/11,PF41800,California,Bachelor,Unemployed,M,0,Urban,Married,0,19,Basic,65,Personal Auto,Personal L3,56,3,Offer1,Four-Door Car,Medsize,Call Center,308.15089,4715.321344
0,1/18/11,AO98601,Washington,Bachelor,Employed,M,54500,Suburban,Married,0,28,Basic,63,Corporate Auto,Corporate L2,17,6,Offer1,Two-Door Car,Small,Agent,302.4,5018.885233
0,2/13/11,SK67821,Oregon,Bachelor,Employed,F,37260,Rural,Married,0,19,Basic,62,Corporate Auto,Corporate L1,42,8,Offer3,Four-Door Car,Medsize,Web,15.437681,4932.916345
0,1/15/11,YV55495,Arizona,High School or Below,Employed,F,68987,Urban,Married,0,11,Basic,71,Personal Auto,Personal L1,40,6,Offer1,Four-Door Car,Medsize,Branch,204.475147,5744.229745
0,2001-08-11,KY38074,California,Bachelor,Employed,M,42305,Suburban,Married,0,10,Premium,117,Personal Auto,Personal L3,62,2,Offer1,Four-Door Car,Small,Agent,561.6,13891.73567
0,2002-06-11,DM79012,Oregon,Master,Employed,F,65706,Suburban,Married,0,19,Extended,91,Personal Auto,Personal L3,86,8,Offer2,Four-Door Car,Small,Web,436.8,7380.976717
0,1/25/11,CM61827,Oregon,Bachelor,Unemployed,M,0,Suburban,Single,0,7,Extended,90,Personal Auto,Personal L2,79,1,Offer3,Two-Door Car,Small,Agent,648,3090.034104
0,2002-07-11,WC35801,Arizona,High School or Below,Employed,M,53243,Rural,Divorced,2,4,Basic,66,Personal Auto,Personal L3,15,1,Offer1,Four-Door Car,Medsize,Call Center,157.397849,2521.633095
0,1/18/11,QG25316,Nevada,High School or Below,Unemployed,F,0,Suburban,Married,1,7,Basic,70,Corporate Auto,Corporate L3,1,1,Offer3,Two-Door Car,Medsize,Call Center,484.318536,2652.061785
1,2001-11-11,MB98372,Oregon,College,Employed,F,50071,Rural,Single,0,3,Basic,71,Corporate Auto,Corporate L3,32,1,Offer2,Two-Door Car,Medsize,Agent,18.918935,2771.045031
1,1/28/11,IL19217,California,Bachelor,Employed,F,60021,Suburban,Married,0,12,Extended,99,Personal Auto,Personal L2,28,1,Offer2,Four-Door Car,Small,Agent,882.871945,3939.00637
0,2002-08-11,SR38658,Arizona,High School or Below,Employed,M,43244,Suburban,Married,0,15,Basic,103,Personal Auto,Personal L2,16,2,Offer4,Sports Car,Medsize,Agent,494.4,12231.87968
0,2/23/11,DH41343,Washington,College,Employed,M,92834,Suburban,Married,0,15,Basic,61,Special Auto,Special L2,56,1,Offer2,Four-Door Car,Large,Call Center,292.8,2443.665166
0,1/25/11,HG65722,Oregon,Doctor,Disabled,F,10105,Rural,Married,3,5,Premium,172,Personal Auto,Personal L2,4,3,Offer1,SUV,Medsize,Branch,0.517753,12819.10289
0,1/31/11,BU27331,Arizona,Bachelor,Unemployed,M,0,Suburban,Single,3,7,Basic,73,Personal Auto,Personal L3,57,5,Offer3,Four-Door Car,Medsize,Call Center,579.165954,4468.510542
0,2001-02-11,XM45289,Oregon,High School or Below,Employed,F,23218,Suburban,Single,0,7,Basic,71,Personal Auto,Personal L2,10,4,Offer4,Two-Door Car,Medsize,Agent,447.79344,5514.344018
0,2002-07-11,KP34198,California,Bachelor,Unemployed,F,0,Suburban,Married,0,11,Extended,92,Corporate Auto,Corporate L2,77,1,Offer2,Four-Door Car,Medsize,Call Center,529.624084,3343.875326
0,1/18/11,SH90947,Arizona,High School or Below,Unemployed,F,0,Suburban,Married,0,11,Basic,62,Personal Auto,Personal L2,56,1,Offer4,Four-Door Car,Medsize,Branch,313.023175,2294.478927
0,1/17/11,WE95729,Oregon,College,Employed,M,24804,Suburban,Married,0,1,Basic,104,Personal Auto,Personal L2,28,2,Offer1,SUV,Small,Agent,593.830288,36707.42639
1,2001-11-11,PY51963,California,Bachelor,Employed,F,33190,Suburban,Divorced,0,18,Basic,106,Corporate Auto,Corporate L1,95,2,Offer1,SUV,Medsize,Web,508.8,33473.34946
0,2/21/11,RB69909,Nevada,High School or Below,Employed,F,36014,Rural,Married,3,4,Basic,69,Special Auto,Special L1,40,2,Offer4,Four-Door Car,Medsize,Branch,173.956072,7983.431709
0,2/16/11,XR95069,Washington,Bachelor,Employed,M,29834,Suburban,Single,0,19,Basic,64,Personal Auto,Personal L3,44,3,Offer4,Four-Door Car,Medsize,Agent,307.2,4854.745666
0,1/17/11,FR46645,California,Bachelor,Disabled,M,16701,Suburban,Married,0,20,Premium,113,Personal Auto,Personal L2,26,1,Offer1,Four-Door Car,Small,Branch,831.625979,4293.997319
0,2002-05-11,SY17488,Arizona,College,Employed,F,46623,Suburban,Divorced,0,1,Extended,91,Corporate Auto,Corporate L3,53,3,Offer3,Four-Door Car,Small,Call Center,436.8,7164.395543
0,2/13/11,AP67935,California,College,Employed,M,64749,Urban,Married,0,24,Basic,64,Special Auto,Special L2,59,2,Offer2,Four-Door Car,Medsize,Branch,302.56519,7619.5158
0,2/23/11,FS37417,Arizona,High School or Below,Unemployed,F,0,Suburban,Married,0,29,Basic,101,Personal Auto,Personal L2,12,1,Offer1,SUV,Small,Call Center,484.8,3958.002823
0,1/28/11,ML29312,Oregon,High School or Below,Disabled,F,16969,Suburban,Divorced,2,34,Extended,124,Personal Auto,Personal L3,47,1,Offer1,SUV,Medsize,Call Center,704.768111,4499.493252
0,2/28/11,UB61619,Oregon,Master,Disabled,F,11621,Suburban,Divorced,0,4,Premium,108,Personal Auto,Personal L1,98,1,Offer1,Four-Door Car,Medsize,Agent,518.4,4059.567414
1,2001-02-11,CD86811,Arizona,Bachelor,Retired,M,17622,Suburban,Divorced,1,1,Basic,65,Personal Auto,Personal L1,36,3,Offer1,Four-Door Car,Medsize,Agent,312,4458.113369
0,1/22/11,RU83859,California,Bachelor,Medical Leave,F,11489,Suburban,Married,0,4,Premium,105,Personal Auto,Personal L3,50,6,Offer1,Two-Door Car,Small,Call Center,504,8110.333139
0,1/15/11,FG63582,Oregon,Bachelor,Unemployed,M,0,Suburban,Single,0,20,Extended,94,Personal Auto,Personal L3,53,1,Offer1,Two-Door Car,Small,Agent,863.327324,3339.764873
0,1/27/11,NN71951,California,High School or Below,Employed,F,66525,Rural,Married,0,0,Basic,100,Personal Auto,Personal L3,86,2,Offer1,SUV,Medsize,Agent,104.331355,24261.01777
0,1/23/11,WB37082,Arizona,Bachelor,Unemployed,F,0,Suburban,Single,0,21,Basic,63,Personal Auto,Personal L3,28,2,Offer3,Four-Door Car,Large,Branch,676.391482,6613.973653
0,1/31/11,SM52139,Washington,College,Employed,M,33663,Suburban,Married,0,29,Basic,73,Personal Auto,Personal L3,71,1,Offer3,Four-Door Car,Medsize,Web,350.4,2930.693543
0,1/26/11,FL82372,Oregon,College,Employed,F,22547,Suburban,Divorced,0,7,Basic,112,Corporate Auto,Corporate L3,60,3,Offer1,SUV,Medsize,Agent,537.6,8672.194272
0,2001-10-11,DP45816,Arizona,High School or Below,Employed,F,61486,Urban,Married,0,5,Extended,97,Personal Auto,Personal L3,65,2,Offer4,Two-Door Car,Small,Branch,465.258644,11638.66926
1,1/27/11,GW33762,Oregon,Bachelor,Unemployed,F,0,Suburban,Divorced,0,13,Extended,95,Personal Auto,Personal L3,20,5,Offer1,Two-Door Car,Large,Call Center,456,6846.150323
0,2001-09-11,RZ33670,California,College,Disabled,F,29879,Suburban,Married,0,17,Premium,102,Personal Auto,Personal L3,0,2,Offer3,Four-Door Car,Medsize,Web,500.254235,11727.77648
0,2/24/11,PY70169,Oregon,High School or Below,Employed,M,93011,Rural,Divorced,0,17,Basic,113,Personal Auto,Personal L3,12,2,Offer4,SUV,Medsize,Agent,281.451042,22643.83478
0,2002-11-11,MO91628,Oregon,Master,Employed,M,65186,Rural,Married,0,29,Basic,65,Personal Auto,Personal L2,27,1,Offer2,Two-Door Car,Large,Web,5.434505,2614.474305
0,2002-12-11,HW87852,Oregon,Master,Medical Leave,M,26840,Suburban,Married,2,1,Basic,64,Personal Auto,Personal L1,47,1,Offer1,Four-Door Car,Medsize,Agent,307.2,2451.752695
0,2002-04-11,HB20453,Oregon,Bachelor,Unemployed,M,0,Suburban,Single,1,30,Basic,104,Personal Auto,Personal L3,3,5,Offer1,Sports Car,Medsize,Agent,982.399613,6781.270203
1,1/18/11,BN87372,Oregon,Bachelor,Employed,M,75644,Suburban,Divorced,3,5,Basic,65,Personal Auto,Personal L3,68,9,Offer2,Two-Door Car,Medsize,Branch,467.803638,4974.801539
0,2002-11-11,YX23800,Oregon,Bachelor,Employed,M,38984,Suburban,Married,0,27,Basic,73,Personal Auto,Personal L3,38,2,Offer2,Four-Door Car,Small,Branch,350.4,8591.604933
0,2002-01-11,DZ87709,Oregon,High School or Below,Employed,F,71811,Rural,Single,0,17,Basic,71,Personal Auto,Personal L1,48,6,Offer2,Four-Door Car,Medsize,Call Center,29.03416,5592.161392
0,2/15/11,XW13033,Nevada,College,Employed,M,20961,Suburban,Married,0,20,Basic,67,Personal Auto,Personal L1,33,2,Offer2,Four-Door Car,Medsize,Agent,321.6,8009.472833
0,2002-06-11,LN31673,Washington,College,Employed,M,38923,Rural,Married,2,6,Extended,99,Personal Auto,Personal L3,83,2,Offer1,Four-Door Car,Medsize,Agent,115.728852,11318.08982
0,2/27/11,OM82309,California,Bachelor,Employed,M,61321,Rural,Single,1,0,Basic,186,Personal Auto,Personal L3,30,2,Offer2,Luxury Car,Small,Branch,427.63121,58166.55351
0,1/26/11,ZU35962,California,College,Unemployed,F,0,Rural,Single,0,20,Extended,77,Personal Auto,Personal L3,26,2,Offer3,Two-Door Car,Large,Branch,25.807685,8025.229358
1,2/26/11,VH85817,California,High School or Below,Employed,M,51066,Suburban,Single,0,23,Basic,74,Personal Auto,Personal L3,0,8,Offer2,Four-Door Car,Medsize,Call Center,787.993313,5780.182197
0,1/27/11,DT85712,California,Doctor,Employed,M,34378,Suburban,Married,0,12,Basic,102,Personal Auto,Personal L1,54,1,Offer3,SUV,Medsize,Branch,489.6,4118.539113
0,1/16/11,YJ88573,Nevada,Master,Employed,M,43072,Suburban,Married,0,35,Basic,63,Personal Auto,Personal L3,15,1,Offer2,Four-Door Car,Large,Call Center,302.4,2523.07015
0,1/27/11,SQ19467,Oregon,College,Disabled,F,25222,Suburban,Single,0,28,Extended,90,Personal Auto,Personal L3,69,3,Offer2,Four-Door Car,Small,Agent,475.623251,6554.216396
0,2/28/11,HF88410,Washington,High School or Below,Employed,M,36765,Suburban,Married,1,15,Basic,66,Personal Auto,Personal L2,32,2,Offer1,Four-Door Car,Medsize,Call Center,320.849072,7703.397294
1,1/25/11,ET79815,California,College,Retired,M,23091,Suburban,Married,5,28,Extended,96,Personal Auto,Personal L1,90,5,Offer1,Four-Door Car,Medsize,Agent,460.8,5926.729379
0,2001-01-11,QC35222,California,Bachelor,Employed,F,48269,Urban,Married,3,3,Basic,69,Corporate Auto,Corporate L2,79,1,Offer3,Four-Door Car,Medsize,Web,282.151207,2683.470677
0,2002-01-11,CJ15590,Oregon,Bachelor,Employed,F,32720,Suburban,Divorced,0,13,Basic,67,Personal Auto,Personal L2,12,1,Offer3,Four-Door Car,Medsize,Branch,321.6,2695.182419
1,2/19/11,OI48267,California,College,Employed,M,20396,Suburban,Married,1,15,Extended,76,Personal Auto,Personal L3,60,4,Offer1,Four-Door Car,Medsize,Branch,364.8,6047.02516
0,1/27/11,JY67916,Oregon,College,Medical Leave,M,21513,Suburban,Married,1,21,Premium,119,Personal Auto,Personal L3,81,2,Offer2,Two-Door Car,Small,Branch,679.827592,13171.01282
1,2/27/11,OE75231,Washington,Bachelor,Employed,F,72540,Suburban,Married,0,7,Extended,88,Corporate Auto,Corporate L3,3,2,Offer2,Two-Door Car,Medsize,Call Center,631.743039,10656.88195
0,1/17/11,CZ33664,Oregon,Bachelor,Employed,F,80744,Rural,Married,0,24,Basic,63,Corporate Auto,Corporate L3,84,1,Offer1,Four-Door Car,Medsize,Agent,11.879037,2527.653796
0,2002-10-11,WK30175,Oregon,Bachelor,Employed,M,52822,Suburban,Married,0,23,Basic,67,Corporate Auto,Corporate L1,88,1,Offer1,Two-Door Car,Small,Branch,350.529033,2672.095756
0,1/24/11,ON44465,California,High School or Below,Unemployed,F,0,Suburban,Single,1,8,Extended,77,Personal Auto,Personal L2,10,9,Offer1,Four-Door Car,Medsize,Agent,863.3947,5313.294035
0,2/24/11,TV87155,Oregon,Bachelor,Employed,F,69738,Suburban,Married,1,2,Basic,74,Personal Auto,Personal L3,26,2,Offer1,Four-Door Car,Large,Branch,492.127532,20946.19251
0,2/15/11,KH48895,Arizona,Master,Medical Leave,F,17780,Rural,Married,0,12,Basic,109,Personal Auto,Personal L3,18,9,Offer1,SUV,Medsize,Branch,132.588288,8375.353929
0,2/16/11,NZ30757,California,Bachelor,Medical Leave,M,18107,Suburban,Married,0,29,Basic,62,Personal Auto,Personal L2,11,8,Offer1,Four-Door Car,Medsize,Agent,297.6,4801.661503
0,1/22/11,RI22468,Arizona,Bachelor,Employed,F,57740,Urban,Married,3,30,Basic,74,Personal Auto,Personal L1,87,9,Offer3,Four-Door Car,Medsize,Web,269.905129,5745.94334
0,2/25/11,FZ30935,Oregon,College,Employed,M,32627,Suburban,Married,0,11,Extended,76,Personal Auto,Personal L2,60,7,Offer1,Two-Door Car,Small,Agent,380.036697,6066.115969
1,2001-11-11,UG93476,California,College,Unemployed,F,0,Suburban,Married,0,3,Basic,107,Personal Auto,Personal L3,65,3,Offer1,SUV,Medsize,Agent,513.6,8002.308333
1,1/31/11,AB96670,California,College,Unemployed,M,0,Suburban,Single,0,24,Basic,70,Personal Auto,Personal L1,10,1,Offer1,Four-Door Car,Medsize,Branch,425.266308,2393.915369
0,2001-12-11,XK64261,Oregon,Bachelor,Employed,M,65795,Rural,Single,1,2,Basic,62,Corporate Auto,Corporate L3,85,3,Offer3,Two-Door Car,Medsize,Call Center,49.011099,4762.8179
1,2/16/11,EV68375,California,College,Employed,M,60475,Suburban,Married,0,9,Premium,107,Personal Auto,Personal L3,18,1,Offer2,Four-Door Car,Medsize,Branch,513.6,4330.38602
0,2002-09-11,UN51653,California,High School or Below,Unemployed,F,0,Suburban,Single,0,28,Extended,130,Personal Auto,Personal L3,88,4,Offer1,SUV,Medsize,Web,936,9402.729769
0,1/19/11,TO96662,Oregon,Bachelor,Employed,F,41837,Rural,Married,0,29,Extended,88,Personal Auto,Personal L3,93,9,Offer1,Four-Door Car,Small,Call Center,142.062768,6966.694527
0,2001-04-11,MR52087,California,Bachelor,Employed,F,32303,Rural,Married,0,13,Basic,65,Personal Auto,Personal L1,34,2,Offer3,Four-Door Car,Medsize,Branch,45.152521,7694.064293
0,2001-09-11,DE75225,Oregon,High School or Below,Unemployed,M,0,Suburban,Married,1,5,Basic,117,Personal Auto,Personal L1,89,3,Offer1,SUV,Medsize,Agent,561.6,8717.561149
0,1/27/11,EP80820,California,Bachelor,Employed,F,40531,Rural,Married,0,17,Basic,74,Personal Auto,Personal L3,32,9,Offer1,Two-Door Car,Medsize,Agent,30.567357,5928.748528
0,2/14/11,GU99037,Oregon,College,Employed,M,79898,Urban,Married,1,5,Basic,62,Corporate Auto,Corporate L1,86,1,Offer4,Four-Door Car,Medsize,Agent,271.606799,2452.977288
0,2/27/11,WI57118,California,College,Employed,M,56398,Suburban,Married,0,4,Extended,85,Personal Auto,Personal L3,18,7,Offer4,Four-Door Car,Small,Agent,408,6701.571657
0,2002-12-11,YQ74870,Washington,High School or Below,Employed,M,35257,Suburban,Divorced,1,16,Extended,98,Corporate Auto,Corporate L2,2,8,Offer2,Four-Door Car,Small,Web,470.4,7556.24034
0,2/26/11,MQ14219,Arizona,College,Employed,M,27804,Suburban,Married,0,19,Basic,109,Personal Auto,Personal L3,54,7,Offer2,SUV,Medsize,Branch,784.8,8492.6988
0,2/20/11,KN20603,Oregon,Bachelor,Employed,M,45506,Suburban,Single,2,16,Basic,66,Personal Auto,Personal L3,32,2,Offer1,Four-Door Car,Medsize,Agent,316.8,7713.494046
0,2002-02-11,CR48975,Washington,High School or Below,Employed,M,65196,Suburban,Married,0,0,Basic,67,Personal Auto,Personal L2,54,2,Offer4,Four-Door Car,Medsize,Branch,396.082036,24084.5352
0,2/15/11,JI70886,California,High School or Below,Unemployed,M,0,Suburban,Married,1,11,Basic,102,Corporate Auto,Corporate L2,70,3,Offer1,SUV,Medsize,Agent,489.6,7290.069769
1,2/18/11,VF72557,Oregon,High School or Below,Retired,M,20993,Suburban,Divorced,0,35,Extended,133,Personal Auto,Personal L3,90,1,Offer2,SUV,Medsize,Agent,638.4,4772.943848
0,1/21/11,OX28638,Arizona,High School or Below,Employed,M,37839,Suburban,Married,0,35,Extended,86,Personal Auto,Personal L3,77,9,Offer2,Two-Door Car,Medsize,Branch,465.633954,6806.491395
0,1/15/11,SK55033,California,Bachelor,Employed,F,92711,Suburban,Single,0,24,Basic,62,Personal Auto,Personal L2,10,1,Offer3,Two-Door Car,Medsize,Agent,368.400146,2469.781334
0,2002-05-11,OO88645,California,College,Employed,F,74665,Urban,Married,2,10,Extended,78,Corporate Auto,Corporate L2,90,1,Offer2,Four-Door Car,Medsize,Call Center,236.902001,3103.923041
0,2/24/11,YT36855,Washington,College,Unemployed,M,0,Suburban,Married,0,26,Extended,83,Personal Auto,Personal L2,89,1,Offer3,Two-Door Car,Medsize,Web,582.679087,2981.875575
0,2001-05-11,CW82151,California,Bachelor,Employed,M,46833,Rural,Married,0,6,Basic,112,Personal Auto,Personal L3,3,9,Offer1,Sports Car,Medsize,Call Center,64.109663,8902.737595
0,1/28/11,DY22043,Oregon,High School or Below,Employed,F,88768,Suburban,Married,0,17,Basic,68,Personal Auto,Personal L3,77,7,Offer3,Two-Door Car,Small,Branch,326.4,5499.447223
0,2001-12-11,SH36774,California,High School or Below,Employed,M,28262,Suburban,Single,0,9,Basic,192,Personal Auto,Personal L3,77,3,Offer3,Luxury SUV,Medsize,Web,921.6,15023.59858
0,2/16/11,EM43724,Nevada,Bachelor,Employed,F,33555,Rural,Married,0,17,Basic,63,Personal Auto,Personal L3,11,1,Offer1,Four-Door Car,Medsize,Agent,101.89645,2509.107875
0,2001-03-11,FH85960,Oregon,College,Employed,M,42780,Suburban,Divorced,1,10,Premium,113,Personal Auto,Personal L2,27,2,Offer1,Four-Door Car,Medsize,Call Center,542.4,31221.7481
0,2002-07-11,XA55993,Oregon,Master,Employed,F,58850,Rural,Single,0,20,Extended,78,Personal Auto,Personal L3,26,1,Offer2,Four-Door Car,Medsize,Branch,143.747794,3133.503432
0,1/13/11,GO36627,Arizona,College,Employed,M,21880,Urban,Married,0,29,Extended,97,Special Auto,Special L2,37,1,Offer1,Four-Door Car,Medsize,Branch,424.077159,3837.451863
1,2001-03-11,QH48047,Oregon,College,Retired,M,25251,Suburban,Divorced,0,13,Basic,66,Personal Auto,Personal L2,43,2,Offer2,Four-Door Car,Medsize,Web,316.8,11790.49617
0,2/17/11,RB50392,Washington,Master,Unemployed,F,0,Rural,Married,0,9,Basic,69,Personal Auto,Personal L1,12,2,Offer2,Four-Door Car,Medsize,Agent,2.704934,7838.068321
0,1/21/11,UH65059,Arizona,High School or Below,Employed,M,24188,Suburban,Married,0,14,Basic,109,Personal Auto,Personal L3,82,1,Offer1,Sports Car,Medsize,Agent,523.2,4305.808345
0,1/26/11,FV21968,Nevada,Bachelor,Employed,F,41611,Rural,Married,0,14,Basic,74,Special Auto,Special L2,8,8,Offer1,Four-Door Car,Medsize,Branch,113.801497,5973.976904
0,1/31/11,QA87025,Oregon,Bachelor,Employed,F,28406,Urban,Married,1,16,Basic,72,Personal Auto,Personal L3,35,4,Offer1,Four-Door Car,Medsize,Call Center,192.87572,5670.442396
0,2001-02-11,TQ13499,Arizona,College,Employed,M,69833,Suburban,Married,0,32,Premium,118,Personal Auto,Personal L3,99,1,Offer1,Four-Door Car,Small,Agent,828.662719,4731.749346
0,2002-07-11,BU44523,Arizona,High School or Below,Unemployed,F,0,Suburban,Single,0,15,Basic,74,Corporate Auto,Corporate L2,91,2,Offer1,Four-Door Car,Small,Web,532.8,8026.379641
0,1/26/11,MS41162,Arizona,High School or Below,Unemployed,M,0,Suburban,Single,0,6,Basic,117,Personal Auto,Personal L3,1,1,Offer1,SUV,Medsize,Agent,975.107098,4022.963529
0,2001-11-11,PU25891,Oregon,High School or Below,Employed,F,80536,Rural,Married,0,5,Basic,119,Special Auto,Special L2,83,3,Offer1,Sports Car,Medsize,Branch,53.798708,9618.310865
0,1/15/11,RB81636,Washington,College,Unemployed,F,0,Suburban,Single,0,2,Basic,63,Personal Auto,Personal L2,5,1,Offer2,Four-Door Car,Small,Agent,606.642452,2274.775451
0,2002-08-11,SX26335,Oregon,College,Employed,F,97732,Urban,Married,0,0,Extended,79,Personal Auto,Personal L3,70,2,Offer4,Four-Door Car,Medsize,Branch,289.9122,9552.926922
