Symbol,Name,MarketCap
Metadium,META-USD,9.735M
FIBOS,FO-USD,9.71M
DuneNetwork,DUN-USD,9.494M
Maro,MARO-USD,9.414M
Vertcoin,VTC-USD,9.204M
Namecoin,NMC-USD,9.062M
Skycoin,SKY-USD,9.038M
Dynamic,DYN-USD,9.027M
InsightsNetwork,INSTAR-USD,8.839M
TenX,PAY-USD,8.809M
GHOSTPRISM,GHOST-USD,8.79M
SafexToken,SFT-USD,8.406M
CyberMiles2,CMT2-USD,8.664M
HighPerformanceBlockchain,HPB-USD,8.092M
Clams,CLAM-USD,7.959M
GoChain,GO-USD,7.892M
CasinoCoin,CSC-USD,7.819M
VITE,VITE-USD,7.786M
NavCoin,NAV-USD,7.77M
PACGlobal,PAC-USD,7.616M
GameCredits,GAME-USD,7.602M
Ubiq,UBQ-USD,7.599M
CUTcoin,CUT-USD,7.378M
Aeon,AEON-USD,7.304M
Observer,OBSR-USD,7.173M
CyberMiles1,CMT1-USD,7.141M
GlobalCryptocurrency2,GCC2-USD,6.799M
Pmeer,PMEER-USD,6.995M
FIOProtocol,FIO-USD,6.962M
RSKSmartBitcoin,RBTC-USD,6.926M
SteemDollars,SBD-USD,6.85M
CoinExToken,CET-USD,6.885M
TaaS,TAAS-USD,6.821M
Achain,ACT-USD,6.72M
OTOCASH,OTO-USD,6.543M
MetaHash,MHC-USD,6.527M
Neblio,NEBL-USD,6.507M
Gleec,GLEEC-USD,6.561M
Wagerr,WGR-USD,6.387M
GlobalCryptocurrency1,GCC1-USD,6.373M
MinterNetwork,BIP-USD,6.353M
Peercoin,PPC-USD,6.302M
POANetwork,POA-USD,6.224M
ILCoin,ILC-USD,6.159M
AidosKuneen,ADK-USD,6.125M
JDCoin,JDC-USD,6.103M
BackPackerCoin,BPC-USD,5.751M
Electra,ECA-USD,5.665M
InternetNodeToken,INT-USD,5.356M
RINGXPLATFORM,RINGX-USD,5.39M
OrientWalt,HTDF-USD,5.381M
DigitalNote,XDN-USD,5.25M
HYCON,HYC-USD,5.218M
PCHAIN,PI-USD,5.229M
AlchemyPay,ACH-USD,5.202M
Aryacoin,AYA-USD,5.017M
Viacoin,VIA-USD,4.982M
Dero,DERO-USD,4.953M
Diamond,DMD-USD,4.897M
Particl,PART-USD,4.841M
CompoundCoin1,COMP1-USD,4.827M
SmartCash,SMART-USD,4.826M
CreditTagChain,CTC-USD,4.757M
Wings,WINGS-USD,4.601M
YOYOW,YOYOW-USD,4.552M
Burst,BURST-USD,4.534M
ECC,ECC-USD,4.489M
StakeCubeCoin3,SCC3-USD,4.421M
Zano,ZANO-USD,4.434M
VeriBlock,VBK-USD,4.391M
Gulden,NLG-USD,4.281M
StakeCubeCoin2,SCC2-USD,4.247M
BlackCoin,BLK-USD,3.298M
GridCoin,GRC-USD,4.191M
MIRCOIN,MIR-USD,4.14M
BitcoinRhodium,XRC-USD,4.162M
StakeCubeCoin5,SCC5-USD,4.044M
SONM,SNM-USD,4.068M
MetrixCoin,MRX-USD,4.034M
StakeCubeCoin4,SCC4-USD,4.549M
MOAC,MOAC-USD,3.866M
Polis,POLIS-USD,3.698M
ALQO,XLQ-USD,3.622M
Dentacoin,DCN-USD,3.539M
SonoCoin1,SONO1-USD,3.534M
SonoCoin2,SONO2-USD,3.535M
Phore,PHR-USD,3.501M
Feathercoin,FTC-USD,3.454M
NIX,NIX-USD,3.464M
Counterparty,XCP-USD,3.459M
Lykke,LKK-USD,3.443M
StakeCubeCoin1,SCC1-USD,3.305M
DECOIN,DTEP-USD,3.291M
Crust,CRU-USD,3.227M
Myriad,XMY-USD,3.217M
XTRABYTES,XBY-USD,3.17M
Idena,IDNA-USD,3.14M
MintCoin,MINT-USD,3.136M
Flash,FLASH-USD,3.071M
Midas,MIDAS-USD,3.069M
MicroBitcoin,MBC-USD,3.006M
DDKoin,DDK-USD,2.942M
ZelCash,ZEL-USD,2.866M
GHOST2,GHOST2-USD,2.804M
Lynx,LYNX-USD,2.79M
Hashshare,HSS-USD,2.769M
Ambrosus,AMB-USD,2.749M
GHOST1,GHOST1-USD,2.673M
Verasity,VRA-USD,2.613M
Shift,SHIFT-USD,2.569M
Rubycoin,RBY-USD,2.533M
MoneroClassic,XMC-USD,2.527M
Stealth,XST-USD,2.465M
ZVCHAIN,ZVC-USD,2.441M
TERA,TERA-USD,2.395M
ColossusXT,COLX-USD,2.357M
MatrixAINetwork,MAN-USD,2.429M
Bitcore,BTX-USD,2.316M
Radium,RADS-USD,2.311M
FLO,FLO-USD,2.267M
SingularDTV,SNGLS-USD,2.158M
Xaya,CHI-USD,2.047M
HTMLCOIN,HTML-USD,2.002M
VINchain,VIN-USD,1.939M
ScPrime,SCP-USD,1.915M
NuBits,USNBT-USD,1.826M
Asch,XAS-USD,1.802M
Vexanium,VEX-USD,1.82M
Mooncoin,MOON-USD,1.779M
BitTube,TUBE-USD,1.75M
Curecoin,CURE-USD,1.665M
BlockStamp,BST-USD,1.596M
Alias,ALIAS-USD,1.584M
Nyzo,NYZO-USD,1.582M
EurekaCoin,ERK-USD,1.572M
Dimecoin,DIME-USD,1.568M
Crown,CRW-USD,1.514M
NoLimitCoin,NLC2-USD,1.446M
LitecoinCash,LCC-USD,1.439M
IOCoin,IOC-USD,1.335M
BitcoinAtom,BCA-USD,1.33M
ODUWA,OWC-USD,1.26M
Quark,QRK-USD,1.152M
Capricoin,CPS-USD,"862,086"
Substratum,SUB-USD,"549,432"
MobileGo,MGO-USD,"435,813"
NPCoin,NPC-USD,"429,318"
Edgeless,EDG-USD,"240,846"
Insolar1,XNS1-USD,"241,577"
Insolar2,XNS2-USD,"196,579"
DeviantCoin,DEV-USD,"144,536"
Ouroboros,OURO-USD,"128,316"
FirstCoin,FRST-USD,"100,859"
ATBCoin,ATB-USD,"37,732"
CompoundCoin2,COMP2-USD,"7,245"
EDCBlockchain,EDC-USD,0
ExchangeUnion,XUC-USD,0
Ondori,RSTR-USD,0
