ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating
44,F,Ship,3,174,2,low,M,44,1556,1,0
45,A,Ship,3,151,2,low,M,29,1328,1,0
46,B,Ship,5,210,3,low,F,9,2944,1,0
47,C,Ship,3,169,4,medium,F,32,1245,1,0
48,F,Ship,5,160,2,low,M,32,1576,1,0
49,D,Ship,5,190,2,medium,M,9,3753,1,0
50,F,Ship,5,216,3,low,F,40,2146,1,0
51,A,Ship,4,183,3,low,M,37,2042,1,0
52,B,Ship,4,141,3,low,M,22,1735,1,0
53,C,Ship,4,165,3,low,F,44,1320,1,0
54,F,Ship,2,170,3,low,M,41,1128,1,0
55,D,Ship,4,203,3,high,M,12,3539,1,0
56,F,Ship,2,246,5,low,M,46,2437,1,1
57,A,Ship,3,238,3,low,F,61,3096,1,0
58,B,Ship,3,193,3,medium,F,29,3453,1,0
59,C,Ship,5,141,3,high,M,41,1367,1,1
60,F,Ship,4,150,3,high,F,17,1923,1,0
61,D,Ship,3,221,3,low,F,64,2794,1,0
62,F,Ship,3,179,3,medium,M,52,1158,1,0
63,A,Ship,5,105,6,medium,M,62,1292,1,0
64,B,Ship,3,177,3,medium,M,61,1880,1,0
65,C,Ship,4,261,2,high,M,49,3045,1,1
66,F,Ship,3,202,3,low,M,49,2881,1,0
67,D,Ship,3,109,3,medium,F,15,1710,1,0
68,F,Ship,3,158,3,low,F,6,1878,1,0
69,A,Ship,4,231,4,medium,F,6,2512,1,0
70,B,Ship,3,206,3,medium,M,39,2929,1,1
71,C,Ship,5,187,4,high,M,14,3849,1,0
72,F,Ship,5,230,2,low,F,2,2229,1,1
73,D,Ship,5,232,3,medium,F,33,2998,1,1
74,F,Ship,4,215,3,medium,F,21,3984,1,1
75,A,Ship,6,238,6,low,F,13,2442,1,0
76,B,Ship,4,266,3,low,F,23,3775,1,0
77,C,Ship,2,158,2,medium,F,36,1788,1,0
78,F,Ship,3,113,3,low,F,43,1518,1,0
79,D,Ship,3,223,3,low,M,18,3959,1,0
80,F,Ship,3,257,2,medium,F,56,3711,1,1
81,A,Ship,3,180,2,medium,F,49,1942,1,0
82,B,Ship,2,132,3,low,M,18,1759,1,1
83,C,Ship,4,217,3,high,F,26,2875,1,0
84,F,Ship,5,162,3,high,F,31,1364,1,1
85,D,Ship,4,197,2,medium,F,40,2710,1,1
86,F,Ship,3,197,3,medium,M,13,2148,1,0
87,A,Ship,4,185,2,low,M,44,2910,1,0
88,B,Ship,6,278,3,medium,F,3,2974,1,0
89,C,Ship,3,229,3,low,M,49,2339,1,0
90,F,Ship,4,186,4,medium,F,57,3880,1,0
91,D,Ship,5,174,6,high,F,41,1085,1,0
92,F,Ship,5,286,3,low,F,18,3163,1,1
93,A,Ship,4,175,2,medium,F,7,1188,1,0
94,B,Ship,3,219,3,medium,F,17,3387,1,0
95,C,Ship,4,213,4,high,F,35,2343,1,0
96,F,Ship,2,235,3,low,M,57,2034,1,0
97,D,Ship,3,149,2,medium,M,18,1225,1,0
98,F,Ship,4,271,2,medium,F,8,2401,1,0
99,A,Ship,3,144,4,medium,M,5,1104,1,1
100,B,Ship,4,145,2,medium,M,21,1617,1,0
101,C,Ship,5,143,2,medium,M,59,1837,1,0
102,F,Ship,5,227,4,low,M,53,2624,1,1
103,D,Ship,2,213,3,low,M,29,2732,1,0
104,F,Ship,5,144,4,low,M,37,1658,1,0
105,A,Ship,3,218,3,low,M,3,2255,1,0
106,B,Ship,4,144,3,medium,M,59,1588,1,0
107,C,Ship,3,238,3,low,M,17,2624,1,0
108,F,Ship,4,216,3,high,M,26,2053,1,1
109,D,Ship,4,238,3,high,F,55,3257,1,1
110,F,Ship,4,141,3,medium,M,47,1250,1,0
111,A,Road,3,158,2,low,M,2,1284,1,0
112,B,Road,4,239,3,low,F,65,3679,1,0
113,C,Road,4,175,2,low,M,25,1816,1,0
114,F,Road,3,263,3,low,M,41,2817,1,0
115,D,Road,3,168,2,high,M,50,1616,1,1
116,F,Road,3,176,3,high,M,36,1779,1,0
117,A,Road,4,150,4,high,M,60,1024,1,0
118,B,Road,4,265,2,medium,F,31,2326,1,0
119,C,Road,2,263,3,low,F,5,2947,1,1
120,F,Road,5,145,3,low,M,20,1387,1,0
121,D,Road,4,183,3,low,F,33,2741,1,0
122,F,Road,3,205,3,medium,F,19,2167,1,0
123,A,Road,4,160,3,low,M,64,1714,1,0
124,B,Road,3,252,2,medium,F,48,2102,1,0
125,C,Road,5,222,3,low,M,10,2280,1,1
126,F,Road,3,203,2,low,M,25,3607,1,0
127,D,Road,4,220,3,medium,M,40,3516,1,1
128,F,Road,3,147,4,low,F,60,1722,1,0
129,A,Road,4,200,4,medium,M,16,2060,1,0
130,B,Road,4,224,4,medium,M,21,2026,1,1
131,C,Road,3,179,2,low,F,17,1364,1,1
132,F,Road,3,144,3,low,M,50,1865,1,0
133,D,Flight,5,247,3,low,M,17,3889,1,0
134,F,Flight,5,280,6,medium,F,51,3582,1,0
135,A,Flight,3,168,2,medium,F,1,1829,1,0
136,B,Flight,3,157,3,medium,F,4,1889,1,1
137,C,Flight,3,189,4,medium,F,51,2208,1,0
138,F,Flight,3,162,2,medium,M,7,1739,1,1
139,D,Flight,4,207,5,low,M,48,2399,1,0
140,F,Flight,5,237,2,low,F,10,3860,1,0
141,A,Flight,4,264,3,high,M,59,2020,1,0
142,B,Flight,5,149,3,low,M,51,1645,1,0
143,C,Flight,5,162,3,low,M,41,1462,1,1
144,F,Flight,2,205,4,medium,F,63,2156,1,0
145,D,Flight,2,158,3,medium,F,51,1540,1,0
146,F,Flight,2,248,2,low,M,46,3707,1,0
147,A,Flight,3,191,3,low,M,23,3750,1,1
148,B,Flight,4,146,4,medium,F,24,1844,1,0
149,C,Flight,3,135,3,low,M,56,1490,1,0
150,F,Flight,5,149,3,low,M,40,1062,1,0
151,D,Flight,4,220,2,medium,F,7,2551,1,0
152,F,Flight,5,98,5,medium,M,44,1269,1,0
153,A,Flight,3,97,4,low,M,32,1238,1,0
154,B,Flight,3,183,2,low,M,53,3932,1,0
155,C,Ship,3,162,3,medium,F,8,1869,1,0
156,F,Ship,5,114,4,low,F,47,1443,1,0
157,D,Ship,6,275,5,low,M,41,2491,1,0
158,F,Ship,3,203,2,medium,F,39,3845,1,0
159,A,Ship,5,205,2,high,M,65,3671,1,1
160,B,Ship,3,149,3,low,F,63,1946,1,0
161,C,Ship,2,112,4,medium,M,56,1138,1,0
162,F,Ship,3,207,3,medium,F,56,3482,1,0
163,D,Ship,4,261,4,low,F,58,3427,1,0
164,F,Ship,5,274,3,medium,M,6,3375,1,0
165,A,Ship,3,141,2,low,M,52,1692,1,1
166,B,Ship,3,166,4,medium,F,17,1498,1,0
167,C,Ship,5,141,3,high,F,34,1020,1,0
168,F,Ship,4,152,3,low,M,43,1709,1,1
169,D,Ship,4,250,3,low,F,53,2478,1,0
170,F,Ship,4,161,3,medium,F,28,1809,1,0
171,A,Ship,4,185,3,medium,F,10,2263,1,0
172,B,Ship,4,176,4,high,F,52,1096,1,0
173,C,Ship,3,148,3,low,M,56,1550,1,0
174,F,Ship,3,270,3,low,F,63,2751,1,0
175,D,Ship,3,242,3,low,F,51,3935,1,0
176,F,Ship,4,150,2,medium,M,3,1285,1,0
177,A,Ship,4,192,3,high,M,20,3872,1,1
178,B,Ship,4,116,3,medium,M,54,1314,1,1
179,C,Ship,3,192,3,medium,F,2,3995,1,0
180,F,Ship,5,255,4,medium,M,3,3440,1,1
181,D,Ship,4,161,7,medium,F,18,1294,1,0
182,F,Ship,4,157,3,low,M,20,1487,1,1
183,A,Ship,3,164,10,high,F,28,1940,1,0
184,B,Ship,3,162,7,medium,F,16,1052,1,1
185,C,Ship,3,146,2,low,M,50,1486,1,0
186,F,Ship,3,209,3,medium,M,54,3001,1,0
187,D,Ship,5,134,2,medium,F,55,1386,1,0
188,F,Ship,2,222,2,medium,M,5,3778,1,0
189,A,Ship,2,139,3,low,F,27,1233,1,1
190,B,Ship,2,134,3,low,F,42,1415,1,0
191,C,Ship,2,130,3,low,M,16,1092,1,1
192,F,Ship,2,133,3,low,F,62,1596,1,1
193,D,Ship,2,140,3,low,F,7,1411,1,0
194,F,Ship,2,158,3,low,M,28,1968,1,0
195,A,Ship,4,270,4,low,F,46,1736,1,0
196,B,Ship,2,140,3,low,F,30,1030,1,1
197,C,Ship,2,135,3,low,M,15,1339,1,0
198,F,Ship,2,136,3,low,F,19,1568,1,0
199,D,Ship,2,142,3,medium,F,38,7640,1,0
200,F,Ship,2,154,3,medium,M,38,7846,1,0
201,A,Ship,2,139,3,low,M,9,1471,1,0
202,B,Ship,2,160,3,low,F,43,1251,1,0
203,C,Ship,2,134,3,low,M,58,1067,1,0
204,F,Ship,5,161,5,high,M,48,1883,1,0
205,D,Ship,2,155,3,low,M,23,1602,1,1
206,F,Ship,2,145,3,medium,F,24,7588,1,0
207,A,Ship,2,157,3,low,M,1,1477,1,0
208,B,Ship,2,160,3,low,M,48,1691,1,0
209,C,Ship,2,152,3,low,M,55,1498,1,0
210,F,Ship,2,148,3,high,F,11,1502,1,1
211,D,Ship,2,127,3,low,F,15,1522,1,0
212,F,Ship,2,154,3,low,F,21,1113,1,1
213,A,Ship,2,127,3,low,M,44,1341,1,1
214,B,Ship,2,160,3,medium,F,31,7401,1,1
215,C,Ship,2,129,3,low,F,48,1219,1,0
216,F,Ship,2,158,3,low,F,40,1722,1,1
217,D,Ship,4,185,3,medium,M,3,3131,1,0
218,F,Ship,4,176,4,high,F,63,1293,1,0
219,A,Ship,3,148,3,low,M,37,1523,1,0
220,B,Ship,3,270,3,low,M,60,3885,1,1
221,C,Ship,3,242,3,low,M,29,2381,1,0
222,F,Ship,4,150,2,medium,M,31,1588,1,0
223,D,Ship,4,192,3,high,M,4,2061,1,0
224,F,Ship,4,116,3,medium,F,9,1314,1,1
225,A,Ship,3,192,3,medium,F,31,3331,1,0
226,B,Ship,5,255,4,medium,F,38,2771,1,0
227,C,Ship,4,161,7,medium,M,63,1496,1,0
228,F,Ship,4,157,3,low,F,48,1393,1,0
229,D,Ship,3,164,10,high,M,14,1375,1,0
230,F,Ship,3,162,7,medium,F,42,1278,1,0
231,A,Ship,3,146,2,low,F,54,1528,1,0
232,B,Ship,3,209,3,medium,F,60,2240,1,0
233,C,Ship,5,134,2,medium,M,53,1088,1,1
234,F,Ship,2,222,2,medium,M,58,3626,1,0
235,D,Ship,2,139,3,low,F,39,1582,1,0
236,F,Ship,2,134,3,low,M,38,1352,1,0
237,A,Ship,2,130,3,low,F,48,1801,1,0
238,B,Ship,2,133,3,low,M,5,1268,1,0
239,C,Ship,2,140,3,low,F,23,1372,1,0
240,F,Ship,2,158,3,low,M,10,1515,1,0
241,D,Ship,4,270,4,low,M,65,1818,1,1
242,F,Ship,2,140,3,low,F,33,1278,1,0
243,A,Ship,2,135,3,low,M,58,1734,1,0
244,B,Ship,2,136,3,low,M,43,1958,1,0
245,C,Ship,2,142,3,medium,F,8,6064,1,0
246,F,Ship,2,154,3,medium,F,48,7684,1,0
247,D,Ship,2,139,3,low,F,3,1788,1,0
248,F,Road,2,160,3,low,F,50,1030,1,0
249,A,Road,2,134,3,low,F,38,1530,1,0
250,B,Road,5,161,5,high,F,54,1511,1,1
251,C,Road,2,155,3,low,F,45,1639,1,0
252,F,Road,2,145,3,medium,F,5,6102,1,0
253,D,Road,2,157,3,low,M,58,1930,1,0
254,F,Road,2,160,3,low,F,19,1399,1,1
255,A,Road,2,152,3,low,F,61,1800,1,0
256,B,Road,2,148,3,high,F,35,1349,1,0
257,C,Road,2,127,3,low,M,13,1128,1,0
258,F,Road,2,129,3,medium,F,22,6614,1,0
259,D,Road,2,158,3,low,F,13,1245,1,0
260,F,Road,2,147,3,low,M,5,1920,1,0
261,A,Road,2,159,3,low,F,49,1621,1,1
262,B,Road,2,151,3,low,F,23,1930,1,0
263,C,Road,3,294,4,low,F,52,1089,1,0
264,F,Road,3,226,2,medium,M,45,1446,1,0
265,D,Road,5,271,5,high,M,9,1813,1,0
266,F,Road,7,203,5,medium,F,61,1856,1,0
267,A,Road,2,264,4,low,F,10,1648,1,0
268,B,Road,4,258,3,medium,M,36,2211,1,0
269,C,Road,3,241,3,low,F,21,3078,1,1
270,F,Flight,4,208,3,medium,M,23,2056,1,1
271,D,Flight,3,209,5,medium,F,12,3054,1,0
272,F,Flight,5,182,2,medium,F,23,2707,1,0
273,A,Flight,4,148,2,medium,F,43,1087,1,1
274,B,Flight,2,183,2,medium,F,52,3199,1,0
275,C,Flight,3,229,6,medium,M,22,2717,1,1
276,F,Flight,5,115,5,low,F,26,1692,1,1
277,D,Flight,4,136,3,low,F,65,1962,1,0
278,F,Flight,4,212,3,low,M,21,3307,1,0
279,A,Flight,4,171,3,low,F,24,1304,1,0
280,B,Flight,3,151,2,low,M,60,1925,1,0
281,C,Flight,3,205,3,medium,M,39,3062,1,0
282,F,Flight,5,147,3,medium,M,23,1132,1,0
283,D,Flight,3,155,3,low,F,29,1712,1,0
284,F,Flight,5,165,3,low,F,20,1150,1,0
285,A,Flight,5,230,3,low,F,32,3249,1,1
286,B,Flight,2,181,4,medium,M,13,2309,1,0
287,C,Flight,5,234,2,low,F,55,3308,1,0
288,F,Flight,4,149,3,low,M,34,1977,1,0
289,D,Flight,5,156,2,low,M,44,1561,1,1
290,F,Flight,4,172,3,medium,F,59,1858,1,0
291,A,Flight,4,270,3,low,M,12,3279,1,0
292,B,Ship,4,206,3,medium,M,23,3807,1,0
293,C,Ship,4,211,4,medium,M,40,3106,1,0
294,F,Ship,3,136,4,low,M,62,1090,1,0
295,D,Ship,5,186,2,high,F,52,3981,1,0
296,F,Ship,3,202,2,medium,M,62,3398,1,0
297,A,Ship,4,183,3,medium,F,12,3646,1,0
298,B,Ship,4,232,2,low,M,36,2861,1,0
299,C,Ship,4,147,4,medium,M,52,1129,1,0
300,F,Ship,4,136,3,medium,M,20,1531,1,0
301,D,Ship,5,127,3,low,F,43,1446,1,0
302,F,Ship,4,202,2,medium,M,35,3695,1,1
303,A,Ship,3,241,2,low,M,57,3671,1,0
304,B,Ship,4,222,2,medium,M,55,3833,1,0
305,C,Ship,3,183,4,medium,F,12,2777,1,0
306,F,Ship,4,249,3,medium,F,36,3769,1,0
307,D,Ship,3,243,4,high,M,59,3838,1,0
308,F,Ship,3,163,3,medium,M,9,1257,1,0
309,A,Ship,4,165,2,high,M,11,1596,1,0
310,B,Ship,5,266,3,medium,F,53,3089,1,1
311,C,Ship,3,193,2,medium,M,48,3909,1,0
312,F,Ship,3,154,3,low,F,56,1136,1,0
313,D,Ship,3,140,3,medium,M,51,1046,1,0
314,F,Ship,4,272,3,medium,M,38,3705,1,0
315,A,Ship,4,143,6,medium,M,20,1654,1,0
316,B,Ship,4,138,3,low,F,30,1805,1,0
317,C,Ship,4,238,2,high,M,17,3358,1,0
318,F,Ship,4,273,4,medium,F,31,2373,1,1
319,D,Ship,3,200,2,medium,M,27,2551,1,0
320,F,Ship,4,213,4,low,M,39,2381,1,1
321,A,Ship,3,224,2,medium,F,15,2701,1,0
322,B,Ship,4,141,3,medium,M,12,1672,1,1
323,C,Ship,3,150,3,low,M,46,1040,1,0
324,F,Ship,3,192,2,low,M,33,2818,1,0
325,D,Ship,5,279,4,medium,F,24,3440,1,0
326,F,Ship,3,246,3,medium,M,30,3748,1,0
327,A,Ship,3,173,3,medium,M,52,1587,1,0
328,B,Ship,4,233,4,medium,F,59,2358,1,0
329,C,Ship,5,274,2,medium,M,24,2423,1,0
330,F,Ship,4,243,4,medium,F,41,2782,1,1
331,D,Ship,3,197,3,medium,F,56,3427,1,0
332,F,Ship,4,140,3,high,F,46,1072,1,0
333,A,Ship,3,215,3,medium,F,22,2585,1,1
334,B,Ship,3,211,3,medium,M,8,3710,1,0
335,C,Ship,4,220,5,low,M,33,2854,1,0
336,F,Ship,3,194,4,low,M,64,2026,1,0
337,D,Ship,5,262,3,medium,F,58,3599,1,0
338,F,Ship,4,201,2,low,F,1,3147,1,0
339,A,Ship,3,261,3,medium,M,15,2989,1,1
340,B,Ship,4,191,6,low,F,60,3425,1,0
341,C,Ship,2,255,5,medium,F,53,3775,1,1
342,F,Ship,3,169,2,high,M,30,1698,1,0
343,D,Ship,4,162,2,medium,M,64,1918,1,1
344,F,Ship,2,248,6,low,F,62,2750,1,1
345,A,Ship,5,197,4,low,F,2,2222,1,0
346,B,Ship,5,264,3,low,M,6,2882,1,0
347,C,Ship,5,260,2,medium,F,55,2791,1,1
348,F,Ship,5,186,2,medium,F,58,2259,1,0
349,D,Ship,4,233,4,low,F,44,2551,1,1
350,F,Ship,5,161,3,low,M,47,1954,1,0
351,A,Ship,4,188,3,low,F,13,2409,1,1
352,B,Ship,5,171,2,medium,F,22,1695,1,1
353,C,Ship,2,267,3,medium,M,15,2481,1,0
354,F,Ship,4,255,2,high,M,47,2956,1,0
355,D,Ship,3,132,3,low,F,56,1303,1,0
356,F,Ship,5,266,3,low,F,31,3157,1,0
357,A,Ship,3,198,2,low,M,25,2774,1,0
358,B,Ship,2,247,2,medium,F,62,3127,1,0
359,C,Ship,3,140,3,medium,F,65,1291,1,0
360,F,Ship,4,131,5,low,M,6,1659,1,0
361,D,Ship,5,246,3,medium,M,49,3236,1,0
362,F,Ship,3,159,3,medium,F,4,1681,1,0
363,A,Ship,3,203,2,medium,M,61,3642,1,1
364,B,Ship,4,187,4,high,F,29,3141,1,0
365,C,Ship,6,146,3,low,F,62,1936,1,0
366,F,Ship,3,234,3,medium,M,39,2099,1,0
367,D,Ship,3,122,3,high,F,15,1354,1,0
368,F,Ship,3,135,3,low,M,8,1074,1,0
369,A,Ship,3,103,3,low,M,3,1403,1,1
370,B,Ship,3,257,3,medium,F,19,2173,1,1
371,C,Ship,4,169,2,low,M,2,1399,1,0
372,F,Ship,4,159,3,medium,M,18,1808,1,1
373,D,Ship,4,188,3,low,M,38,3031,1,1
374,F,Ship,5,136,3,medium,M,19,1420,1,0
375,A,Ship,5,227,3,low,F,19,3007,1,0
376,B,Ship,3,262,2,low,F,53,3275,1,1
377,C,Ship,2,157,2,low,M,45,1965,1,0
378,F,Ship,5,238,2,medium,F,21,2053,1,0
379,D,Ship,3,152,3,low,M,43,1282,1,1
380,F,Ship,3,201,3,medium,M,5,2040,1,0
381,A,Ship,3,148,2,low,M,54,1778,1,0
382,B,Ship,5,199,4,low,F,59,2885,1,0
383,C,Ship,5,215,2,low,F,45,3501,1,0
384,F,Ship,4,175,2,low,M,40,1270,1,1
385,D,Road,4,236,2,high,M,23,3123,1,0
386,F,Road,2,182,2,medium,F,57,2896,1,1
387,A,Road,3,251,3,medium,M,42,3698,1,0
388,B,Road,5,173,3,low,F,7,1855,1,0
389,C,Road,4,225,3,low,F,62,2587,1,0
390,F,Road,4,167,4,low,F,20,1705,1,0
391,D,Road,4,259,3,low,M,20,2154,1,0
392,F,Road,4,178,3,medium,F,63,1573,1,0
393,A,Road,4,178,4,medium,F,13,1614,1,0
394,B,Road,5,169,2,low,F,20,1765,1,0
395,C,Road,3,272,2,low,M,33,2321,1,0
396,F,Road,4,183,3,low,M,29,3251,1,0
397,D,Road,3,205,3,low,F,10,2728,1,0
398,F,Road,2,123,4,low,F,53,1036,1,0
399,A,Road,4,152,3,low,M,58,1453,1,0
400,B,Road,3,220,2,high,F,40,3773,1,0
401,C,Road,4,134,3,low,M,51,1965,1,0
402,F,Road,3,217,2,high,M,19,2992,1,0
403,D,Road,3,265,3,low,F,49,2791,1,0
404,F,Road,4,249,5,medium,M,36,3836,1,0
405,A,Road,5,213,4,medium,F,50,2003,1,0
406,B,Road,2,124,3,low,F,56,1494,1,0
407,C,Flight,4,180,2,low,M,23,1193,1,0
408,F,Flight,4,193,3,medium,M,65,2267,1,1
409,D,Flight,3,192,3,medium,M,43,3339,1,0
410,F,Flight,2,166,3,medium,M,3,1832,1,1
411,A,Flight,3,264,3,medium,M,5,3861,1,0
412,B,Flight,3,200,2,medium,M,14,3528,1,0
413,C,Flight,4,142,4,medium,M,12,1396,1,0
414,F,Flight,4,215,2,low,M,32,3066,1,0
415,D,Flight,2,218,2,low,M,15,2745,1,0
416,F,Flight,3,115,3,low,F,27,1814,1,0
417,A,Flight,4,159,3,low,M,33,1330,1,0
418,B,Flight,5,133,3,low,M,63,1218,1,1
419,C,Flight,5,178,3,low,M,48,1517,1,0
420,F,Flight,4,134,2,low,F,43,1714,1,0
421,D,Flight,3,184,5,medium,F,58,2544,1,0
422,F,Flight,4,251,2,medium,M,24,2405,1,0
423,A,Flight,3,141,3,low,M,7,1933,1,0
424,B,Flight,4,229,2,medium,M,45,3776,1,0
425,C,Flight,4,203,4,low,M,34,3813,1,0
426,F,Flight,4,158,3,medium,F,57,1911,1,0
427,D,Flight,3,167,3,medium,M,52,1755,1,0
428,F,Flight,5,197,4,low,F,40,3303,1,0
429,A,Ship,2,140,3,low,F,19,1806,1,0
430,B,Ship,5,205,2,medium,M,27,3569,1,0
431,C,Ship,5,208,3,low,F,45,2018,1,1
432,F,Ship,4,96,3,low,M,22,1294,1,0
433,D,Ship,6,205,3,low,F,44,2064,1,0
434,F,Ship,4,215,3,medium,F,48,2953,1,0
435,A,Ship,4,216,3,low,F,43,2643,1,0
436,B,Ship,3,112,2,high,M,22,1846,1,0
437,C,Ship,5,222,3,low,F,20,3632,1,0
438,F,Ship,5,186,3,medium,F,15,2153,1,0
439,D,Ship,3,241,3,medium,M,48,2841,1,1
440,F,Ship,3,172,3,low,F,58,1269,1,0
441,A,Ship,3,251,2,high,M,23,2426,1,1
442,B,Ship,5,190,3,high,M,45,2628,1,0
443,C,Ship,4,186,2,medium,F,48,2805,1,0
444,F,Ship,4,207,2,medium,M,35,2596,1,0
445,D,Ship,3,135,3,low,F,19,1366,1,0
446,F,Ship,4,189,2,medium,F,18,2955,1,0
447,A,Ship,4,173,5,medium,F,51,1691,1,0
448,B,Ship,3,194,3,medium,M,3,2169,1,0
449,C,Ship,3,183,3,low,M,19,3018,1,0
450,F,Ship,4,140,2,low,F,22,1248,1,0
451,D,Ship,4,244,3,medium,F,55,2782,1,0
452,F,Ship,2,189,4,low,M,34,3355,1,0
453,A,Ship,3,157,2,medium,M,53,1390,1,0
454,B,Ship,4,275,10,medium,F,23,2726,1,0
455,C,Ship,4,133,3,low,F,53,1467,1,1
456,F,Ship,4,149,3,medium,M,54,1178,1,0
457,D,Ship,3,254,2,high,M,17,3153,1,0
458,F,Ship,3,145,8,low,F,15,1429,1,0
459,A,Ship,3,179,5,low,F,52,1991,1,0
460,B,Ship,5,168,3,low,M,26,1526,1,0
461,C,Ship,4,202,3,medium,F,18,3940,1,0
462,F,Ship,3,220,7,low,M,43,2620,1,0
463,D,Ship,3,244,8,low,M,1,2703,1,0
464,F,Ship,4,186,7,medium,F,40,3111,1,0
465,A,Ship,5,263,8,medium,M,24,3139,1,0
466,B,Ship,3,294,4,low,F,15,1318,1,0
467,C,Ship,3,226,2,medium,F,2,1043,1,1
468,F,Ship,4,173,5,medium,F,2,1175,1,0
469,D,Ship,3,194,3,medium,F,10,2277,1,1
470,F,Ship,3,183,3,low,F,2,3459,1,1
471,A,Ship,4,140,2,low,M,61,1770,1,0
472,B,Ship,4,244,3,medium,M,8,3318,1,0
473,C,Ship,2,189,4,low,M,9,3413,1,0
474,F,Ship,3,157,2,medium,F,39,1525,1,0
475,D,Ship,4,275,10,medium,M,10,2093,1,0
476,F,Ship,4,133,3,low,M,59,1092,1,1
477,A,Ship,4,149,3,medium,M,26,1863,1,0
478,B,Ship,3,254,2,high,F,41,3973,1,0
479,C,Ship,3,145,8,low,F,24,1594,1,0
480,F,Ship,3,179,5,low,M,56,1113,1,1
481,D,Ship,5,168,3,low,F,13,1317,1,0
482,F,Ship,4,202,3,medium,F,46,3181,1,1
483,A,Ship,3,220,7,low,M,25,2141,1,0
484,B,Ship,3,244,8,low,F,50,3562,1,0
485,C,Ship,4,186,7,medium,F,30,2062,1,0
486,F,Ship,5,263,8,medium,F,9,2236,1,1
487,D,Ship,3,294,4,low,F,25,1498,1,0
488,F,Ship,4,139,3,low,F,56,1811,1,0
489,A,Ship,7,192,3,low,M,46,1550,1,1
490,B,Ship,3,235,3,low,M,5,3065,1,0
491,C,Ship,2,176,3,low,F,15,1996,1,0
492,F,Ship,5,224,3,low,F,34,2627,1,0
493,D,Ship,3,128,3,medium,F,51,1524,1,0
494,F,Ship,5,226,5,low,M,47,2240,1,0
495,A,Ship,5,160,5,medium,F,16,1526,1,0
496,B,Ship,3,197,5,low,M,45,2224,1,0
497,C,Ship,4,216,3,low,F,12,2273,1,0
498,F,Ship,4,199,2,low,M,9,3075,1,0
499,D,Ship,5,271,2,low,M,27,3957,1,1
500,F,Ship,5,201,3,low,F,47,2657,1,0
501,A,Ship,3,212,2,low,M,33,2021,1,0
502,B,Ship,3,177,3,low,M,10,1641,1,0
503,C,Ship,3,191,4,medium,F,43,2903,1,0
504,F,Ship,3,174,3,low,M,30,1986,1,0
505,D,Ship,5,162,2,low,F,14,1045,1,0
506,F,Ship,3,219,2,low,F,39,2696,1,0
