carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
17137,vw, Caddy Maxi Life,2014,Manual,56716,Diesel,200,48.7,1.6,9498
12304,toyota, Verso,2018,Manual,7074,Diesel,145,62.8,1.6,13965
15538,ford, Mustang,2017,Semi-Auto,26452,Petrol,580,23.5,5,27890
14711,hyundi, IX20,2015,Manual,29000,Petrol,125,50.4,1.4,6795
14728,skoda, Yeti,2017,Semi-Auto,15000,Petrol,125,51.4,1.2,13400
18636,vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145,46.3,2,24295
17353,vw, Arteon,2017,Semi-Auto,6502,Petrol,145,47.1,2,22290
18198,vauxhall, Combo Life,2019,Manual,805,Petrol,145,42.2,1.2,16000
16125,merc, CLA Class,2017,Automatic,10626,Petrol,145,53.3,1.6,17200
16182,vw, Scirocco,2014,Manual,43198,Diesel,30,62.8,2,12000
14106,ford, Mustang,2020,Automatic,3500,Petrol,145,22.1,5,42489
12516,skoda, Rapid,2017,Manual,55115,Diesel,0,74.3,1.6,7450
15589,vw, Arteon,2019,Semi-Auto,6183,Diesel,145,50.4,2,23795
17108,merc, X-CLASS,2018,Automatic,9500,Diesel,260,31.4,3,36790
15995,bmw, 6 Series,2015,Automatic,22797,Diesel,160,49.6,3,19199
17306,merc, S Class,2015,Automatic,30782,Hybrid,20,64.2,2.1,27000
15389,ford, Edge,2017,Manual,45386,Diesel,160,48.7,2,17000
17200,vw, Scirocco,2011,Semi-Auto,120000,Diesel,125,57.6,2,5995
16250,merc, GL Class,2015,Automatic,54965,Diesel,125,55.4,2.1,15599
17633,vw, Amarok,2017,Automatic,22000,Diesel,260,36.2,3,26000
12751,vw, Amarok,2018,Automatic,23371,Diesel,265,36.2,3,30995
16375,audi, SQ7,2017,Automatic,12000,Diesel,145,39.2,4,52888
14138,merc, M Class,2014,Automatic,37986,Diesel,300,39.2,3,20499
19006,ford, Grand C-MAX,2016,Manual,28772,Diesel,30,64.2,1.5,9999
13168,hyundi, Santa Fe,2009,Manual,95000,Diesel,305,38.7,2.2,4495
12962,hyundi, IX20,2017,Manual,12245,Petrol,150,50.4,1.4,10000
13937,toyota, Prius,2013,Automatic,33905,Hybrid,0,70.6,1.8,11500
14085,vauxhall, Combo Life,2018,Manual,10070,Diesel,145,53.3,1.5,15979
14766,bmw, i3,2016,Automatic,25269,Other,0,470.8,0.6,17100
14970,toyota, Avensis,2016,Manual,40312,Diesel,200,46.3,1.6,10275
18264,ford, Tourneo Custom,2016,Manual,62505,Diesel,200,46.3,2,15298
16053,bmw, M4,2020,Semi-Auto,101,Petrol,145,34,3,51402
14282,vw, California,2019,Semi-Auto,3544,Diesel,260,29.1,2,69994
17578,hyundi, I800,2018,Manual,33610,Diesel,145,31.7,2.5,16459
12959,vauxhall, Agila,2014,Manual,45400,Petrol,20,60.1,1,3595
14635,merc, M Class,2015,Semi-Auto,30657,Diesel,200,39.2,2.1,23995
15032,audi, A7,2017,Semi-Auto,24337,Diesel,150,55.4,3,22999
19005,hyundi, I800,2019,Manual,14674,Diesel,145,31.7,2.5,18500
13177,skoda, Scala,2020,Manual,1652,Petrol,145,47.9,1.5,19952
18255,vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,30,62.7,1.6,8850
14720,ford, Mustang,2018,Manual,21632,Petrol,145,35.3,2.3,25000
17624,merc, CLA Class,2015,Automatic,32895,Diesel,20,67.3,2.1,16250
14174,ford, Galaxy,2017,Manual,36123,Diesel,125,56.5,2,17958
13816,vauxhall, Combo Life,2019,Manual,7821,Diesel,145,53.3,1.5,16990
19544,toyota, Prius,2013,Automatic,68057,Hybrid,0,68.9,1.8,14498
19165,toyota, Land Cruiser,2017,Automatic,11356,Diesel,145,38.2,2.8,37790
16138,bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160,49.6,3,17898
16606,ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,30,64.2,1.5,13490
13514,toyota, Verso,2017,Semi-Auto,19432,Petrol,150,43.5,1.8,16781
15644,merc, CLS Class,2018,Semi-Auto,8123,Diesel,145,48.7,2.9,33990
16918,vauxhall, Combo Life,2018,Manual,14066,Diesel,145,53.3,1.5,13300
18085,merc, G Class,2018,Semi-Auto,18234,Petrol,150,21.4,4,135124
13226,vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145,38.7,2,33290
16908,ford, Grand C-MAX,2011,Automatic,90000,Diesel,200,48.7,2,5995
14628,bmw, X6,2018,Automatic,35706,Diesel,145,47.1,3,33450
12058,ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2,24000
16049,merc, CLA Class,2016,Automatic,30106,Diesel,125,58.9,2.1,18500
14951,toyota, Verso,2017,Semi-Auto,6800,Petrol,145,42.8,1.8,15495
17375,bmw, M2,2020,Semi-Auto,1501,Petrol,145,29.1,3,46000
17153,merc, GL Class,2015,Automatic,29520,Diesel,125,55.4,2.1,17299
15618,merc, GL Class,2015,Automatic,40659,Diesel,125,56.5,2.1,16799
12237,merc, SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2,13650
15590,bmw, X4,2017,Semi-Auto,22768,Diesel,145,54.3,2,24500
16631,merc, CLS Class,2016,Automatic,33000,Diesel,145,56.5,2.1,19200
13486,toyota, Prius,2017,Automatic,3881,Hybrid,135,235,1.8,20795
12712,vw, Scirocco,2015,Manual,22442,Diesel,20,55.4,2,12998
19392,merc, SLK,2016,Automatic,39820,Diesel,30,70.6,2.1,16299
16328,skoda, Scala,2020,Manual,55,Petrol,145,49.6,1,17495
12198,bmw, X7,2019,Semi-Auto,10,Diesel,145,31.4,3,76970
18013,vw, Arteon,2019,Manual,3248,Diesel,145,52.3,2,24690
15711,hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,150,42.8,2.2,19899
18094,vw, Beetle,2015,Manual,26196,Petrol,205,42.8,1.4,11000
17638,vw, Amarok,2019,Automatic,6822,Diesel,260,33.6,3,30700
16418,skoda, Rapid,2018,Semi-Auto,13553,Petrol,145,58.9,1,11795
17341,merc, V Class,2018,Manual,30577,Diesel,145,46.3,2.1,19990
12466,audi, A8,2018,Automatic,11300,Diesel,145,50.4,3,34399
18571,vw, Scirocco,2016,Manual,22687,Diesel,20,55.4,2,15199
16449,vauxhall, GTC,2015,Manual,33217,Diesel,125,60.1,2,7280
19133,audi, A8,2019,Automatic,5900,Diesel,145,50.4,3,48000
18228,bmw, i3,2017,Automatic,24041,Hybrid,0,470.8,0,21495
14031,vw, Scirocco,2017,Manual,44081,Petrol,145,47.1,2,14075
14233,ford, Galaxy,2016,Automatic,24664,Diesel,150,52.3,2,19500
15137,bmw, 7 Series,2019,Automatic,7414,Diesel,145,44.8,3,47890
16284,vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145,35.8,1.5,29399
15868,ford, Grand C-MAX,2018,Manual,21384,Petrol,145,54.3,1,11999
17964,skoda, Rapid,2014,Semi-Auto,40468,Petrol,145,48.7,1.4,7495
13289,merc, V Class,2018,Automatic,15232,Diesel,145,48.7,2.1,19750
19266,vw, Caravelle,2019,Semi-Auto,6280,Diesel,145,33.6,2,46795
19588,vw, Shuttle,2018,Semi-Auto,16203,Diesel,145,47.1,2,27994
14704,ford, Galaxy,2017,Manual,35495,Diesel,125,56.5,2,17999
17741,merc, M Class,2013,Automatic,84000,Diesel,205,44.8,2.1,17500
17237,ford, Grand C-MAX,2017,Manual,11373,Petrol,30,54.3,1,11891
17034,vauxhall, Combo Life,2019,Manual,7300,Petrol,145,42.2,1.2,14990
12856,ford, Tourneo Custom,2017,Manual,33650,Diesel,235,44.1,2,17995
19143,bmw, Z4,2019,Automatic,467,Petrol,145,38.7,2,32970
14566,audi, RS5,2019,Automatic,2000,Petrol,145,30.1,2.9,53990
17941,skoda, Rapid,2017,Manual,33599,Diesel,145,74.3,1.6,9185
12741,ford, Edge,2016,Manual,27500,Diesel,160,48.7,2,17900
13910,ford, Grand C-MAX,2017,Manual,25243,Diesel,30,64.2,1.5,12498
18166,vw, Scirocco,2015,Manual,90000,Diesel,30,53.3,2,9475
12679,ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,125,61.4,1.5,13995
17823,vw, Arteon,2019,Manual,100,Diesel,150,52.3,2,25390
12616,toyota, GT86,2017,Manual,14345,Petrol,150,36.2,2,17000
14906,toyota, Hilux,2018,Automatic,16734,Diesel,265,36.2,2.4,23994
19480,merc, GLS Class,2017,Automatic,26452,Diesel,305,37.2,3,38343
12404,audi, A7,2017,Semi-Auto,34132,Diesel,30,62.8,3,21150
14654,skoda, Rapid,2017,Manual,32657,Diesel,0,74.3,1.6,8485
12051,vw, Arteon,2019,Automatic,7865,Diesel,145,50.4,2,28995
16714,vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150,44.1,2,26999
19494,vw, Shuttle,2019,Manual,3615,Diesel,145,38.2,2,20480
17444,toyota, Prius,2018,Automatic,20252,Hybrid,135,85.6,1.8,22000
16879,ford, KA,2018,Manual,5007,Petrol,145,57.7,1.2,8299
17522,skoda, Rapid,2016,Manual,49093,Diesel,0,74.3,1.6,6985
18082,hyundi, Santa Fe,2016,Manual,10200,Diesel,200,46.3,2.2,17390
19058,toyota, Verso,2017,Automatic,33989,Other,165,43.5,1.8,14800
16026,skoda, Scala,2020,Manual,5234,Petrol,145,49.6,1,16490
13200,audi, A8,1997,Automatic,122000,Petrol,265,18.9,4.2,4650
13675,hyundi, IX20,2016,Manual,28500,Petrol,125,50.4,1.4,8189
12640,ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,125,58.9,1.6,10499
12978,hyundi, Santa Fe,2018,Manual,21588,Diesel,145,47.1,2.2,20842
14076,merc, S Class,2019,Semi-Auto,4688,Petrol,150,31.7,4,109995
14577,merc, GLB Class,2020,Semi-Auto,29,Diesel,145,46.3,2,39480
13575,merc, M Class,2013,Automatic,51800,Diesel,200,44.8,2.1,15990
18682,bmw, 7 Series,2019,Semi-Auto,706,Diesel,145,44.1,3,52700
18078,audi, Q8,2019,Automatic,945,Diesel,145,33.6,3,56000
18478,merc, GL Class,2015,Automatic,42073,Diesel,125,55.4,2.1,15999
19141,merc, X-CLASS,2019,Automatic,39,Diesel,260,35.8,2.3,28675
16974,bmw, X7,2019,Semi-Auto,17561,Petrol,145,24.8,3,67989
16006,audi, RS6,2015,Automatic,24987,Petrol,315,29.4,4,44950
12653,skoda, Yeti,2013,Manual,67235,Diesel,200,47.1,2,6688
16813,ford, Edge,2017,Semi-Auto,20045,Diesel,160,48.7,2,20750
16936,bmw, M4,2017,Automatic,5735,Petrol,145,32.5,3,39950
14033,ford, Edge,2017,Semi-Auto,41726,Diesel,160,48.7,2,18998
18363,vauxhall, GTC,2016,Automatic,44310,Petrol,200,42.8,1.4,9240
16900,ford, Edge,2017,Manual,22922,Diesel,160,48.7,2,19999
18025,vauxhall, Combo Life,2019,Manual,17957,Diesel,145,53.3,1.5,15990
13848,merc, S Class,2015,Automatic,46757,Diesel,205,47.9,3,25460
16208,audi, Q8,2019,Semi-Auto,4488,Diesel,145,33.6,3,48995
13841,toyota, Verso,2016,Semi-Auto,13992,Petrol,165,43.5,1.8,13490
14265,merc, SLK,2001,Automatic,48172,Petrol,325,30,2.3,3990
18586,ford, KA,2018,Manual,10691,Petrol,150,47.9,1.2,9500
12925,ford, Galaxy,2017,Manual,32750,Diesel,125,56.5,2,18999
18548,vw, Arteon,2019,Automatic,1000,Diesel,145,37.7,2,34000
12493,vw, Beetle,2013,Manual,38333,Petrol,235,37.2,2,10400
18806,toyota, Prius,2013,Automatic,58852,Other,10,64.2,1.8,17995
14276,vw, Amarok,2018,Automatic,5673,Diesel,260,33.6,3,32000
18194,skoda, Rapid,2015,Manual,28301,Petrol,20,57.7,1.2,7990
17162,hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,150,39.2,2.2,36999
18698,merc, S Class,2015,Semi-Auto,29036,Diesel,160,50.4,3,24998
12646,vw, Scirocco,2017,Automatic,34203,Diesel,145,62.8,2,17000
18259,toyota, Avensis,2016,Manual,29535,Diesel,20,67.3,1.6,9499
16487,bmw, M5,2012,Automatic,51000,Petrol,555,28.5,4.4,23995
17871,ford, Grand C-MAX,2017,Manual,4040,Petrol,145,54.3,1,14500
12207,hyundi, IX20,2017,Manual,10279,Petrol,145,50.4,1.4,9795
14600,vw, Scirocco,2017,Manual,24481,Diesel,150,55.4,2,16299
15106,vw, Amarok,2019,Automatic,6898,Diesel,260,33.6,3,34900
16533,vw, Scirocco,2016,Manual,17141,Diesel,20,55.4,2,15940
19146,vw, Arteon,2019,Automatic,6000,Diesel,145,50.4,2,28990
18894,vw, Amarok,2018,Automatic,13764,Diesel,260,36.2,3,27900
13800,ford, Galaxy,2016,Automatic,35646,Diesel,160,51.4,2,17750
18243,ford, KA,2013,Manual,17427,Petrol,30,57.7,1.2,5300
15659,skoda, Yeti,2017,Manual,19956,Diesel,145,62.8,2,13750
18780,ford, Galaxy,2016,Manual,27315,Diesel,125,56.5,2,18000
18933,toyota, Prius,2017,Automatic,9891,Hybrid,0,85.6,1.8,20000
14400,vw, Beetle,2016,Manual,21930,Petrol,125,51.4,1.2,10941
13598,merc, CLA Class,2020,Automatic,3600,Petrol,145,33.2,2,54900
16243,ford, Tourneo Custom,2019,Manual,1410,Diesel,145,30.1,2,26922
19046,toyota, Prius,2018,Automatic,59191,Other,135,235,1.8,18150
14995,ford, Galaxy,2016,Manual,23300,Diesel,125,56.5,2,17990
16156,vw, Caravelle,2011,Automatic,86000,Diesel,325,34.4,2,19995
12780,merc, GLS Class,2019,Automatic,11607,Diesel,145,37.2,3,44990
17230,ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,145,61.4,1.5,13998
19154,toyota, Prius,2018,Automatic,10549,Hybrid,135,94.1,1.8,20950
17170,hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,240,42.8,2.2,19498
14155,bmw, i3,2017,Automatic,17338,Hybrid,135,470.8,0,19495
17308,bmw, X4,2019,Semi-Auto,6449,Diesel,145,37.2,3,41999
13255,merc, V Class,2017,Semi-Auto,41298,Diesel,205,45.6,2.2,29998
14311,bmw, X4,2019,Automatic,2188,Petrol,145,26.9,3,42460
19393,toyota, Prius,2019,Automatic,3982,Hybrid,135,61.4,1.8,22990
12301,toyota, Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8,17650
18687,vauxhall, GTC,2015,Manual,32160,Petrol,160,44.8,1.6,8790
17760,audi, RS3,2017,Automatic,38000,Petrol,150,34,2.5,31888
14908,vw, Tiguan Allspace,2019,Automatic,7971,Diesel,145,39.2,2,26995
13431,merc, V Class,2019,Manual,5000,Diesel,145,46.3,2.1,24990
18937,audi, Q8,2020,Automatic,3522,Diesel,145,30.7,4,84496
18506,vw, Beetle,2017,Manual,30456,Diesel,150,67.3,2,13981
19464,bmw, 6 Series,2017,Automatic,23954,Petrol,260,36.7,3,23400
14547,ford, Tourneo Custom,2017,Manual,23838,Diesel,150,44.8,2,19490
16274,ford, Galaxy,2016,Manual,87180,Diesel,125,56.5,2,14500
15587,bmw, X4,2017,Semi-Auto,18441,Diesel,145,54.3,2,23000
16201,skoda, Kamiq,2019,Manual,458,Petrol,150,49.6,1,16991
15510,hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,145,39.2,2.2,33791
17859,bmw, X4,2019,Semi-Auto,1852,Diesel,145,40.4,3,37980
14084,vw, Amarok,2017,Automatic,25624,Diesel,260,36.2,3,25995
12842,ford, Edge,2018,Semi-Auto,12815,Diesel,150,48.7,2,22795
18313,vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,145,62.8,1.6,12295
13822,vw, Caddy Life,2020,Manual,1700,Diesel,150,51.4,2,22000
13743,audi, RS3,2020,Automatic,10,Petrol,145,30.1,2.5,42490
15657,bmw, X4,2019,Semi-Auto,7414,Diesel,145,42.8,2,35480
13428,ford, KA,2013,Manual,22995,Petrol,30,57.7,1.2,4391
16488,ford, Grand C-MAX,2016,Manual,34883,Diesel,30,61.4,2,11998
17023,vw, Scirocco,2018,Manual,30532,Diesel,145,53.3,2,16495
15880,ford, Mustang,2019,Automatic,1055,Petrol,145,22.1,5,37991
16626,bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145,42.2,3,53995
18385,toyota, Prius,2010,Automatic,67000,Hybrid,0,70.6,1.8,6995
19302,audi, A7,2019,Automatic,15302,Diesel,145,47.1,2,31720
19063,ford, Galaxy,2016,Manual,33883,Diesel,125,56.5,2,14999
16416,toyota, Prius,2018,Automatic,44512,Hybrid,135,94.1,1.8,17995
19186,vw, Scirocco,2016,Manual,32526,Petrol,125,52.3,1.4,14382
12421,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150,32.8,2,34950
15939,vw, CC,2016,Automatic,54355,Diesel,125,58.9,2,10712
14971,bmw, Z4,2019,Semi-Auto,7363,Petrol,145,38.2,2,27450
16249,merc, CLS Class,2013,Semi-Auto,64777,Diesel,205,47.1,3,14972
16100,merc, CLS Class,2019,Semi-Auto,7301,Diesel,145,47.9,2.9,42900
14801,ford, KA,2013,Manual,33761,Petrol,30,57.7,1.2,4500
18138,audi, SQ5,2017,Automatic,27000,Petrol,150,34,3,36950
17046,hyundi, IX20,2018,Manual,3250,Petrol,145,37.2,1.6,12995
12084,skoda, Scala,2019,Manual,3501,Petrol,145,49.6,1,15490
18661,audi, RS5,2019,Semi-Auto,2469,Petrol,150,29.7,2.9,56400
17430,bmw, X4,2019,Semi-Auto,8515,Diesel,145,42.8,2,34000
16752,bmw, 6 Series,2020,Semi-Auto,11,Petrol,145,42.8,2,33999
19529,skoda, Rapid,2013,Manual,29750,Petrol,125,52.3,1.2,5495
15544,toyota, Prius,2013,Automatic,52217,Hybrid,0,134.5,1.8,13522
12997,ford, Edge,2017,Semi-Auto,25725,Diesel,145,47.9,2,22511
15560,skoda, Yeti,2017,Manual,13591,Petrol,145,51.4,1.2,15495
16273,ford, Edge,2017,Automatic,19039,Diesel,160,48.7,2,20000
13104,merc, SLK,2006,Automatic,75000,Petrol,555,28,3.5,4995
16336,skoda, Yeti,2014,Manual,43429,Diesel,30,61.4,1.6,9000
15333,merc, GLS Class,2018,Semi-Auto,41102,Petrol,145,23,5.5,64999
18089,hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,145,39.8,2.2,35995
17874,ford, KA,2016,Manual,30225,Petrol,30,57.7,1.2,5666
19347,skoda, Scala,2019,Semi-Auto,5000,Petrol,145,47.1,1,16250
17270,toyota, GT86,2014,Manual,39761,Petrol,265,36.2,2,13000
14902,skoda, Yeti,2015,Manual,32800,Diesel,165,49.6,2,10480
15948,bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145,42.8,2,31999
18075,vw, Amarok,2019,Automatic,16898,Diesel,260,33.6,3,27990
16060,skoda, Kamiq,2019,Semi-Auto,1500,Petrol,145,43.5,1.5,22500
18851,ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,115,58.9,1.6,10995
18556,merc, X-CLASS,2017,Automatic,11447,Diesel,260,35.8,2.3,31000
15116,skoda, Kamiq,2020,Manual,1500,Petrol,145,49.6,1,18490
12261,ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1,12490
18981,hyundi, I800,2018,Automatic,34605,Diesel,145,28,2.5,15990
17093,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145,40.9,2.2,32995
14652,skoda, Rapid,2017,Manual,23002,Petrol,145,57.7,1.2,8990
16202,merc, G Class,2017,Automatic,38247,Petrol,145,20.5,5.5,71995
18517,hyundi, IX20,2017,Manual,21354,Petrol,145,50.4,1.4,9490
16598,skoda, Scala,2019,Automatic,3500,Petrol,145,45.6,1.5,17995
16333,ford, Galaxy,2017,Semi-Auto,40838,Diesel,145,52.3,2,18000
16002,ford, Edge,2019,Automatic,4694,Diesel,145,37.2,2,33000
18163,hyundi, I800,2019,Manual,7691,Diesel,150,31.7,0,18500
12150,vw, Caravelle,2019,Automatic,11163,Diesel,145,33.6,2,44500
12036,skoda, Rapid,2018,Manual,12231,Petrol,145,62.8,1,7995
19622,toyota, GT86,2014,Manual,25499,Petrol,260,36.2,2,12998
13578,ford, KA,2009,Manual,6000,Petrol,30,55.4,1.2,4990
15531,vw, Caravelle,2020,Semi-Auto,2000,Diesel,150,33.6,2,43495
14617,merc, GLB Class,2020,Semi-Auto,19,Diesel,145,46.3,2,36980
14686,hyundi, IX35,2014,Manual,53544,Diesel,165,51.4,2,9475
12797,toyota, Supra,2019,Automatic,10,Petrol,145,34.5,3,49499
15425,skoda, Yeti,2014,Manual,13593,Petrol,165,46.3,1.2,11000
12794,bmw, X4,2020,Semi-Auto,7724,Diesel,145,37.2,3,45990
16440,merc, GL Class,2017,Automatic,56316,Diesel,125,56.5,2.1,20500
13691,merc, S Class,2017,Semi-Auto,26699,Diesel,145,50.4,3,30580
15330,vw, Scirocco,2018,Manual,27885,Petrol,145,47.1,2,16725
18652,skoda, Rapid,2015,Manual,18926,Diesel,30,64.2,1.6,6998
12066,merc, CLS Class,2016,Automatic,17730,Diesel,165,51.4,3,21591
18199,hyundi, IX20,2014,Manual,42000,Petrol,125,50.4,1.4,5945
18943,hyundi, I40,2015,Manual,68969,Diesel,20,67.3,1.7,7050
